"","tract","Year","City","Community_Name","Detailed_Name","SPA","SD","CD","ca_ssd","ca_sad","totStreetSingAdult","totStreetFamHH","totStreetFamMem","totCars","totVans","totCampers","totTents","totEncamp","totCarPeople","totVanPeople","totCamperPeople","totTentPeople","totEncampPeople","totYouthFamHH","totESAdultSingAdult","totESAdultFamHH","totESAdultFamMem","totESYouthSingYouth","totESYouthFamHH","totESYouthFamMem","totESYouthUnaccYouth","totTHAdultSingAdult","totTHAdultFamHH","totTHAdultFamMem","totTHYouthSingYouth","totTHYouthFamHH","totTHYouthFamMem","totTHYouthUnaccYouth","totSHAdultSingAdult","totSHAdultFamHH","totSHAdultFamMem","totSHYouthSingYouth","totSHYouthFamHH","totSHYouthFamMem","totSHYouthUnaccYouth","totUnsheltPeople","totESPeople","totTHPeople","totSHPeople","totSheltPeople","totPeople"
"19",104124,"2017","Los Angeles","Angeles National Forest","Kagel Canyon",2,3,7,25,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",104201,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,7,0,0,2,0,4,1,2,3,0,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24
"21",104203,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"22",104204,"2017","Los Angeles","Foothill Trails","Foothill Trails District NC",2,3,7,18,39,4,0,0,0,0,6,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
"23",104310,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,0,0,0,1,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
"24",104320,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"25",104401,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"26",104403,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,7,0,0,0,3,2,0,2,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20
"27",104404,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,1,0,0,2,3,2,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
"28",104500,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,0,0,21,23
"29",104610,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"30",104620,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,2,0,0,5,4,1,0,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
"31",104701,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
"32",104703,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,6,0,0,6,3,17,3,0,10,5,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,62
"33",104704,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
"34",104810,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",104821,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
"36",104822,"2017","Los Angeles","Pacoima","Pacoima NC",2,3,7,18,39,7,0,0,1,3,1,0,5,2,5,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,26
"37",106010,"2017","Los Angeles","Sylmar","Sylmar NC",2,5,7,18,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",106020,"2017","Los Angeles","Sylmar","Sylmar NC",2,3,7,18,39,0,0,0,4,1,16,1,0,6,2,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,43
