STATE_FIPS,CNTY_FIPS,STCOFIPS,Tract,FIPS,SQMI,Jurisdiction,Year,Opt In,Counted,Opt In Name,City,Community Name,Community Type,Region ID,Region Name,Region,Alias,Street Singles,Street Family,Street_UYouth,Cars,Vans,Campers,Tents,Encampments,Units,Car People,VanPeople,Camper People,Tent People,Encamp People,YouthCount15,YouthCount13,ES_Single,ES_Family,ES_UYouth,TH_Singles,TH_Family,TH_UYouth,Street Count,Unsheltered,ES_People,TH_People,Sheltered,Individual,Family Members,Unaccompanied,2015_Total,2015Total_woYouth
6,37,6037,294300,6037294300,0.58,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,14,0,0,2,0,0,1,5,8,3,0,0,2,10,0,0,0,0,0,0,0,0,29,29,0,0,0,29,0,0,29,29
6,37,6037,294410,6037294410,0.31,Harbor City,2015,Yes,Yes,Wilmington NC,Los Angeles,Harbor City,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,8,0,0,1,2,4,1,5,13,1,3,7,2,10,0,0,0,0,0,0,0,0,31,31,0,0,0,31,0,0,31,31
6,37,6037,294420,6037294420,0.94,Harbor City NC,2015,Yes,Yes,Harbor City NC,Los Angeles,Harbor City,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,2,0,0,0,1,0,21,11,33,0,2,0,34,21,0,0,0,0,0,0,0,0,59,59,0,0,0,59,0,0,59,59
6,37,6037,294510,6037294510,0.2,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,1,0,0,0,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,5,5
6,37,6037,294520,6037294520,0.19,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8,0,8,8
6,37,6037,294610,6037294610,0.32,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,7,0,0,0,1,1,0,3,5,0,2,2,0,6,0,0,0,0,0,0,0,0,17,17,0,0,0,17,0,0,17,17
6,37,6037,294620,6037294620,0.33,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,37,6037,294700,6037294700,2.15,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,26,0,0,6,11,28,0,9,54,9,18,50,0,17,0,0,28,0,0,0,0,0,120,120,28,0,28,148,0,0,148,148
6,37,6037,294810,6037294810,0.12,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,7,0,0,2,3,7,0,1,13,3,5,13,0,2,0,0,0,0,0,0,0,0,30,30,0,0,0,30,0,0,30,30
6,37,6037,294820,6037294820,0.15,Wilmington NC,2015,Yes,Yes,Wilmington NC,Los Angeles,Wilmington,Community,SPA 8,Service Planning Area 8,South Bay / Harbor,SPA 8-South Bay / Harbor,26,0,0,6,3,16,8,5,38,9,5,29,13,10,0,0,0,0,0,0,0,0,92,92,0,0,0,92,0,0,92,92
